"filename", "language", "XML", "TypeScript JSX", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 0, 0, 0, 19, 201
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/editor/index.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 4, 66
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/editor/menu-bar.tsx", "TypeScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 7, 107
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/input/field-wrapper.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/input/field.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/input/input.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/label.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/resizable.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/separator.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/switch/field.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/switch/index.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/tooltip/index.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/components/ui/tooltip/primitive.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/lib/utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/src/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 69, 0, 4, 73
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/svgr.config.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/tailwind.config.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 2, 70
"/Users/ubiratanrodrigues/Documents/BIRA/projects/resume-craft/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 2, 1313, 33, 92, 8886, 33, 69, 4, 199, 10631
